Ref1,MC16.MG13,MC16.MG14,MC20.MG1,MC20.MG10,MC20.MG11,MC20.MG12,MC20.MG13,MC20.MG14,MC20.MG15,MC20.MG16,MC20.MG17,MC20.MG18,MC20.MG19,MC20.MG2,MC20.MG20,MC20.MG21,MC20.MG22,MC20.MG23,MC20.MG24,MC20.MG25,MC20.MG26,MC20.MG27,MC20.MG28,MC20.MG29,MC20.MG3,MC20.MG30,MC20.MG31,MC20.MG33,MC20.MG34,MC20.MG35,MC20.MG36,MC20.MG37,MC20.MG4,MC20.MG5,MC20.MG6,MC20.MG7,MC20.MG8,MC20.MG9
MC16.MG13,1.0,0.019383587952393075,0.012958943660142282,0.01281652448703945,0.013454250662971526,0.0054204581103055515,0.003392811438976665,0.008494205857154491,0.006280860559090513,0.013544303169768897,0.012452358988440741,0.01621610216353401,0.010855231305157512,0.01579665655966493,0.01309470959321157,0.013594298895916276,0.015852522073815073,0.014030255821007625,0.014147541209089969,0.015802570063295017,0.013948675303629697,0.01527369188951563,0.01632338640444072,0.015275863190170795,0.013168386622694405,0.014984774586640893,0.014745294529264088,0.015455563519576604,0.014472517304183615,0.015485736748533608,0.017095360240112753,0.015954643048051293,0.0115965914776943,0.0121472337225279,0.012788057964102015,0.01076936607728137,0.011512928709895556,0.009914435719290135
MC16.MG14,0.019383587952393075,1.0,0.014988198830643697,0.014167817228138641,0.013690085020389955,0.005762687076176742,0.00441005043355899,0.011886243722891383,0.007657162289709658,0.014792390274412398,0.01583066762528959,0.018954443348828315,0.012091486455377371,0.016844195296902377,0.015179643805144702,0.016405736495123766,0.01868636934213588,0.015111839012124656,0.015144476360021768,0.01776451659447731,0.014966545602957022,0.017095855547679246,0.01757330582877279,0.016538223059288964,0.013070640919290383,0.017030538780234583,0.01940892259185442,0.016564018724753857,0.016260420457314937,0.017914060983601307,0.019806859037976538,0.016726184144814638,0.012619285067915098,0.014406837209109964,0.013685576683888201,0.012966377573805771,0.013308716641246056,0.00879371141842935
MC20.MG1,0.012958943660142282,0.014988198830643697,1.0,0.010437244931400406,0.010085281590623258,0.005691241270029328,0.004876881498200275,0.008892657182827494,0.006516556985855201,0.011511416142081917,0.015376779288043619,0.01438605271366723,0.01178942693893989,0.01449150665462095,0.01464055013793851,0.015655264816100856,0.014679652991205949,0.012473943148974284,0.010534652704773096,0.013772445730711796,0.013438689126685699,0.015938238125953352,0.01306870974893521,0.013367675162689004,0.009312002740859658,0.014755025059603983,0.016557240823424364,0.01114113347104784,0.013455218369920426,0.012566588820239694,0.014525409506826193,0.013013388796589276,0.01258644648369336,0.01189279897538138,0.011578408022427029,0.010896533353628373,0.009211937258736013,0.006276771025341105
MC20.MG10,0.01281652448703945,0.014167817228138641,0.010437244931400406,1.0,0.012154461059272656,0.004808132139123598,0.003461906636291178,0.007293437314392685,0.005708556854997881,0.015075218169098977,0.011470404778327444,0.014966716648739104,0.010001037516338945,0.011018135733030569,0.011330822124442875,0.012640660626807583,0.01450379523823102,0.012867402300127253,0.016124813094355393,0.013413525955158283,0.011828156346216258,0.01313448387333978,0.013141772751468002,0.012340417053149162,0.013281582629898673,0.012971255154012894,0.012680021618449873,0.016749764226563723,0.012584500655208004,0.015540848564101989,0.01500176184522329,0.013988731868441314,0.010444411383039628,0.012044857380146384,0.012501504648224035,0.011141290886367077,0.012566211983364356,0.01133770836433677
MC20.MG11,0.013454250662971526,0.013690085020389955,0.010085281590623258,0.012154461059272656,1.0,0.004757833059365269,0.0026104752375755904,0.005627728543245589,0.005639898033894505,0.01105179247708805,0.009584804806400444,0.015032609111807293,0.010014708071244858,0.012894059897451564,0.010817411371463324,0.011183109177665669,0.013193031616302798,0.01311178886184992,0.01405798197186228,0.013741640687720179,0.012004509388640843,0.012893670582374424,0.013808111913800386,0.013760101611571506,0.016424306478644315,0.012605665234282316,0.010274019203554354,0.015641724297544162,0.01280081607400947,0.014491004363936792,0.01500970618774599,0.014039076665160749,0.010409289100687372,0.01122483067491419,0.013316663494279544,0.010638018815295568,0.014107658586735627,0.011132415418557105
MC20.MG12,0.0054204581103055515,0.005762687076176742,0.005691241270029328,0.004808132139123598,0.004757833059365269,1.0,0.002949326237795148,0.0036047158296663574,0.009779951869634207,0.0062970070681439795,0.01004167902771631,0.0069379602109007265,0.00455087305346337,0.005081397061779085,0.006302023413321648,0.00592167751839519,0.006044957066558338,0.005574841741720757,0.005066792034630636,0.0058060082220665575,0.00538702306290073,0.006033907267259328,0.005236538911925996,0.005748263655916914,0.0046870049164203535,0.006430441534297317,0.007097602248062453,0.0051700906167463975,0.005672513875923391,0.0055136067125387414,0.006210439968518252,0.005261774178235754,0.00589115866138342,0.008456417286714795,0.005167677143406905,0.00511323675647507,0.004776333542988806,0.0034391857684048814
MC20.MG13,0.003392811438976665,0.00441005043355899,0.004876881498200275,0.003461906636291178,0.0026104752375755904,0.002949326237795148,1.0,0.012382915422544702,0.005563363499607528,0.004232204349622737,0.005112837828787999,0.004052660451372097,0.003446485229802736,0.0031917520054106302,0.003689434799444211,0.003953146499730768,0.004049192338058624,0.003275244728891143,0.002646533788052778,0.003060012189095732,0.002989411110769297,0.0037831654492308164,0.0026744552781517435,0.0028915614742614374,0.0028369723596076766,0.003375643302074053,0.004372153386912136,0.003143318667065236,0.0032128590826810814,0.0028563677462893674,0.0035570158980301942,0.0027898272220222642,0.0034476477877862007,0.0037974471927816615,0.003940892220738533,0.004434608416456004,0.0030965154630194992,0.002384481388827198
MC20.MG14,0.008494205857154491,0.011886243722891383,0.008892657182827494,0.007293437314392685,0.005627728543245589,0.0036047158296663574,0.012382915422544702,1.0,0.010098040251115502,0.009221150529859173,0.009111893724552586,0.008198541479981615,0.0068185581149354715,0.009029000498973148,0.006568098707424832,0.006799209012054578,0.008289947587827884,0.006226874996142618,0.005382005640607143,0.006858202686198942,0.005800170787136389,0.006964860132916954,0.006369152169223024,0.005861275445714525,0.005395749612694865,0.00625511761507674,0.0077793445126351024,0.006218865281387001,0.006286525020587573,0.005845300599547555,0.00758330520346869,0.006369685685057398,0.006035363951455786,0.006181221359709377,0.007056619695029918,0.008475054780364921,0.005746858798599872,0.005184115588709203
MC20.MG15,0.006280860559090513,0.007657162289709658,0.006516556985855201,0.005708556854997881,0.005639898033894505,0.009779951869634207,0.005563363499607528,0.010098040251115502,1.0,0.00758309931666667,0.008751070466242543,0.006834066552160985,0.005367988997719138,0.006211891709819242,0.00730273981097763,0.006208518634018277,0.006604808966826031,0.005830298546693067,0.0053429718617725545,0.006557693048766526,0.005752258565116355,0.006349448694428605,0.005841490928474558,0.006001717379780016,0.005121922933719092,0.006645621435926094,0.007144892629778876,0.006036424893808672,0.006017124546385314,0.00587078593676332,0.006718047736626352,0.005851816330630979,0.006752738740783594,0.006113502461641386,0.005659978289171241,0.006053389780313482,0.005544584871166305,0.005431073336229906
MC20.MG16,0.013544303169768897,0.014792390274412398,0.011511416142081917,0.015075218169098977,0.01105179247708805,0.0062970070681439795,0.004232204349622737,0.009221150529859173,0.00758309931666667,1.0,0.016064652614995373,0.016953575001277536,0.009876063456175423,0.011266822052711728,0.014703044884866363,0.014812860193702952,0.016435356649995504,0.014933900770169713,0.01576637577271421,0.015201864311238805,0.012766823170359053,0.014540389647475683,0.013802021985658714,0.014439097309721337,0.013372795480508706,0.015928723672908207,0.01773880452173507,0.019080406258855983,0.014374857273314234,0.017106829463271515,0.018108993757366007,0.015021703631085492,0.012454636844805403,0.01306450303325111,0.014094540864408995,0.012302333935297383,0.011911375216486338,0.011005001984156205
MC20.MG17,0.012452358988440741,0.01583066762528959,0.015376779288043619,0.011470404778327444,0.009584804806400444,0.01004167902771631,0.005112837828787999,0.009111893724552586,0.008751070466242543,0.016064652614995373,1.0,0.018672321746528844,0.01046176426691614,0.010057495513437185,0.017472023461338207,0.01832407878444817,0.01877129741842899,0.014865882902977063,0.012127240187400596,0.014518480355137262,0.012653646884395206,0.016594618370424773,0.01295567052046823,0.014891302842532478,0.011115825975106623,0.017941911786210837,0.025501767503396455,0.012216107674675897,0.01586333717824057,0.015045426429278913,0.01993202356477922,0.012962916900621829,0.014002128589998821,0.015314891852935464,0.013436769129410896,0.012154528953190826,0.011352152652236651,0.005652737557290813
MC20.MG18,0.01621610216353401,0.018954443348828315,0.01438605271366723,0.014966716648739104,0.015032609111807293,0.0069379602109007265,0.004052660451372097,0.008198541479981615,0.006834066552160985,0.016953575001277536,0.018672321746528844,1.0,0.01273484885748773,0.01363463458540988,0.016976555463512386,0.018892592454191774,0.020502237606715223,0.018124036190539938,0.01906556554124361,0.01941717262392226,0.015785120948866794,0.017931245574819205,0.019081923977410545,0.018769547455620816,0.01683938198620663,0.020274548416176742,0.021009747442994556,0.019382292658842146,0.017921531192346782,0.020961591333377005,0.02372481050576294,0.018163047734202714,0.013457625791599759,0.01510086279984318,0.015450582218279956,0.013436742214060828,0.015508557045543402,0.009204762019028982
MC20.MG19,0.010855231305157512,0.012091486455377371,0.01178942693893989,0.010001037516338945,0.010014708071244858,0.00455087305346337,0.003446485229802736,0.0068185581149354715,0.005367988997719138,0.009876063456175423,0.01046176426691614,0.01273484885748773,1.0,0.011389381881605152,0.011583967886265846,0.016057072479346134,0.012852403238555004,0.01030176053353106,0.010354255175044532,0.011396627290783954,0.01802923797980875,0.015190997664411563,0.011763103569214577,0.01553325562364198,0.009392565289689037,0.01061167011209293,0.011366388382094462,0.010995844338319715,0.017186807231444466,0.014737187483653966,0.0123347730478231,0.011631867522253996,0.009827582390047506,0.011157782343211513,0.010111514388016255,0.008729604988786253,0.00838185941633281,0.00738704167206744
MC20.MG2,0.01579665655966493,0.016844195296902377,0.01449150665462095,0.011018135733030569,0.012894059897451564,0.005081397061779085,0.0031917520054106302,0.009029000498973148,0.006211891709819242,0.011266822052711728,0.010057495513437185,0.01363463458540988,0.011389381881605152,1.0,0.01238579591436877,0.01202868744324136,0.013398623320840021,0.01184532835813229,0.011867517517068488,0.014859296871517031,0.01403471297831396,0.014312161187785789,0.016194349444613083,0.013941635873205812,0.009240866044978507,0.01351425621504055,0.011534916452379909,0.011518950442662833,0.012644723583877557,0.013352989240250024,0.014173828487712275,0.015908223617984323,0.01026258262512006,0.00893197639199914,0.00942267628609924,0.009988680364309657,0.009450955843788782,0.008883539939270026
MC20.MG20,0.01309470959321157,0.015179643805144702,0.01464055013793851,0.011330822124442875,0.010817411371463324,0.006302023413321648,0.003689434799444211,0.006568098707424832,0.00730273981097763,0.014703044884866363,0.017472023461338207,0.016976555463512386,0.011583967886265846,0.01238579591436877,1.0,0.018418760332627983,0.016913633123107386,0.01808411375051816,0.014222342009705857,0.01563602642009427,0.014017195109709831,0.017789362904081462,0.014735607571712253,0.01688056513093245,0.011253877407420102,0.018971711040349736,0.023002100321177214,0.014303670258638858,0.016886069313762724,0.016113104598218103,0.019569322609886714,0.015541101465594068,0.013180204788704962,0.012591255933917609,0.012280296345212183,0.011541363442443863,0.011603640595081635,0.007642481691410111
MC20.MG21,0.013594298895916276,0.016405736495123766,0.015655264816100856,0.012640660626807583,0.011183109177665669,0.00592167751839519,0.003953146499730768,0.006799209012054578,0.006208518634018277,0.014812860193702952,0.01832407878444817,0.018892592454191774,0.016057072479346134,0.01202868744324136,0.018418760332627983,1.0,0.019174625464827275,0.01584804825426747,0.014709710676909975,0.01646627209592198,0.016267551673644038,0.018653899869356835,0.015029693889501145,0.0177644229940009,0.012776683528374716,0.017396761770203332,0.022060797725257212,0.015519397404328351,0.019175505919252076,0.01855081731067884,0.020126731882658327,0.014960147563534336,0.013687381268253867,0.016152746117088557,0.014078111639148601,0.012031069853610452,0.011800327282866953,0.007036462343139199
MC20.MG22,0.015852522073815073,0.01868636934213588,0.014679652991205949,0.01450379523823102,0.013193031616302798,0.006044957066558338,0.004049192338058624,0.008289947587827884,0.006604808966826031,0.016435356649995504,0.01877129741842899,0.020502237606715223,0.012852403238555004,0.013398623320840021,0.016913633123107386,0.019174625464827275,1.0,0.017390271245168454,0.017528434266755457,0.01903778011472477,0.015727555637993117,0.018456127207150584,0.01780333282142538,0.018439536391579615,0.014446268863047987,0.018613205028175466,0.023215548540367923,0.016619825241073256,0.019112580635923287,0.01935049875863951,0.023069265081265392,0.017732530646393366,0.013790146557122922,0.0157341597235557,0.014924869930019473,0.012711325800507618,0.013083344003972932,0.00855535981607331
MC20.MG23,0.014030255821007625,0.015111839012124656,0.012473943148974284,0.012867402300127253,0.01311178886184992,0.005574841741720757,0.003275244728891143,0.006226874996142618,0.005830298546693067,0.014933900770169713,0.014865882902977063,0.018124036190539938,0.01030176053353106,0.01184532835813229,0.01808411375051816,0.01584804825426747,0.017390271245168454,1.0,0.017131271054830994,0.017810416916642154,0.01445584511550785,0.017171117857798696,0.0159945227282848,0.017239770759768347,0.014158852387753836,0.018910342638934468,0.021009996302573344,0.01688990765233482,0.016836720454420744,0.01764632106139449,0.021273807825682854,0.016906611537160793,0.012318457598422091,0.012994844690508866,0.013185905983685938,0.012023713153305433,0.013806978802631317,0.009158604609888345
MC20.MG24,0.014147541209089969,0.015144476360021768,0.010534652704773096,0.016124813094355393,0.01405798197186228,0.005066792034630636,0.002646533788052778,0.005382005640607143,0.0053429718617725545,0.01576637577271421,0.012127240187400596,0.01906556554124361,0.010354255175044532,0.011867517517068488,0.014222342009705857,0.014709710676909975,0.017528434266755457,0.017131271054830994,1.0,0.01834506523027109,0.014384066198829114,0.015480703465263595,0.017917047094945116,0.017335614990061487,0.016139493003953804,0.018369088579389927,0.015157825811836625,0.021042630273584318,0.016324194729822973,0.021335618768073356,0.021637965775441238,0.01790585549792757,0.011004151295873375,0.01178889887768232,0.013409083854026902,0.011445340031503345,0.014942941683142247,0.011415334691473959
MC20.MG25,0.015802570063295017,0.01776451659447731,0.013772445730711796,0.013413525955158283,0.013741640687720179,0.0058060082220665575,0.003060012189095732,0.006858202686198942,0.006557693048766526,0.015201864311238805,0.014518480355137262,0.01941717262392226,0.011396627290783954,0.014859296871517031,0.01563602642009427,0.01646627209592198,0.01903778011472477,0.017810416916642154,0.01834506523027109,1.0,0.016794434429207958,0.018265260091271125,0.01911568559978909,0.019903345105403827,0.013403615138529803,0.019118429127734374,0.01915144963977264,0.017479003113004998,0.01758502783953847,0.019745348865834587,0.02285426219846563,0.01824122565761437,0.012937026382920823,0.012949365069632629,0.014166445429606003,0.011814134692631853,0.013151438302252422,0.009593253709677743
MC20.MG26,0.013948675303629697,0.014966545602957022,0.013438689126685699,0.011828156346216258,0.012004509388640843,0.00538702306290073,0.002989411110769297,0.005800170787136389,0.005752258565116355,0.012766823170359053,0.012653646884395206,0.015785120948866794,0.01802923797980875,0.01403471297831396,0.014017195109709831,0.016267551673644038,0.015727555637993117,0.01445584511550785,0.014384066198829114,0.016794434429207958,1.0,0.017902769000359822,0.01643856739381955,0.019203047121930068,0.011316815030115338,0.015352143016423965,0.016201747471439796,0.013759327333974553,0.019506929515299753,0.018411810854394695,0.01778665296843254,0.01591303681352293,0.012549439536610252,0.012627837521418092,0.011526131849376097,0.010070405817362587,0.010570802842940685,0.009053677521351172
MC20.MG27,0.01527369188951563,0.017095855547679246,0.015938238125953352,0.01313448387333978,0.012893670582374424,0.006033907267259328,0.0037831654492308164,0.006964860132916954,0.006349448694428605,0.014540389647475683,0.016594618370424773,0.017931245574819205,0.015190997664411563,0.014312161187785789,0.017789362904081462,0.018653899869356835,0.018456127207150584,0.017171117857798696,0.015480703465263595,0.018265260091271125,0.017902769000359822,1.0,0.016719005836564715,0.02035547414283772,0.012541762819747436,0.018183564046050035,0.022056432896612025,0.015170985991206795,0.01997365775737364,0.018926066687504284,0.020251345425901894,0.016732397635450966,0.013353134406780562,0.013915179494459171,0.013874315691378836,0.011326331804355758,0.011481010419783987,0.009617995568157851
MC20.MG28,0.01632338640444072,0.01757330582877279,0.01306870974893521,0.013141772751468002,0.013808111913800386,0.005236538911925996,0.0026744552781517435,0.006369152169223024,0.005841490928474558,0.013802021985658714,0.01295567052046823,0.019081923977410545,0.011763103569214577,0.016194349444613083,0.014735607571712253,0.015029693889501145,0.01780333282142538,0.0159945227282848,0.017917047094945116,0.01911568559978909,0.01643856739381955,0.016719005836564715,1.0,0.01753150094959346,0.01250058533796796,0.0172210715345313,0.016427014818470493,0.01541268232999819,0.016798164545296142,0.018552880667879586,0.020921819204549975,0.01864545979233469,0.011991376749530611,0.012758079920763126,0.012264417446107697,0.01144929582035437,0.013106118901112617,0.008494290310904044
MC20.MG29,0.015275863190170795,0.016538223059288964,0.013367675162689004,0.012340417053149162,0.013760101611571506,0.005748263655916914,0.0028915614742614374,0.005861275445714525,0.006001717379780016,0.014439097309721337,0.014891302842532478,0.018769547455620816,0.01553325562364198,0.013941635873205812,0.01688056513093245,0.0177644229940009,0.018439536391579615,0.017239770759768347,0.017335614990061487,0.019903345105403827,0.019203047121930068,0.02035547414283772,0.01753150094959346,1.0,0.013441902234871506,0.020177563747971722,0.020670381752089677,0.016952849195805277,0.02065268983781656,0.020577513938828108,0.022737259551486075,0.01695859446026661,0.012400505804273534,0.013051433443225572,0.013328809723256735,0.011170945130741333,0.012484978867041991,0.009671100960409094
MC20.MG3,0.013168386622694405,0.013070640919290383,0.009312002740859658,0.013281582629898673,0.016424306478644315,0.0046870049164203535,0.0028369723596076766,0.005395749612694865,0.005121922933719092,0.013372795480508706,0.011115825975106623,0.01683938198620663,0.009392565289689037,0.009240866044978507,0.011253877407420102,0.012776683528374716,0.014446268863047987,0.014158852387753836,0.016139493003953804,0.013403615138529803,0.011316815030115338,0.012541762819747436,0.01250058533796796,0.013441902234871506,1.0,0.013367431558362142,0.011824603679471224,0.019216196837816665,0.012571107029483273,0.016342868163693094,0.01600783217624635,0.014297980294229061,0.011691012794959134,0.012967662242151186,0.015040038379683266,0.010395892932296548,0.01557387269688815,0.013450262660525097
MC20.MG30,0.014984774586640893,0.017030538780234583,0.014755025059603983,0.012971255154012894,0.012605665234282316,0.006430441534297317,0.003375643302074053,0.00625511761507674,0.006645621435926094,0.015928723672908207,0.017941911786210837,0.020274548416176742,0.01061167011209293,0.01351425621504055,0.018971711040349736,0.017396761770203332,0.018613205028175466,0.018910342638934468,0.018369088579389927,0.019118429127734374,0.015352143016423965,0.018183564046050035,0.0172210715345313,0.020177563747971722,0.013367431558362142,1.0,0.02365049641343717,0.018527979304563978,0.017860066023766122,0.020152513519873638,0.024531409312753247,0.017525364998767955,0.01352656598391561,0.013200300670089062,0.012961053100781486,0.012750403482962934,0.01432299672611254,0.009216356246911566
MC20.MG31,0.014745294529264088,0.01940892259185442,0.016557240823424364,0.012680021618449873,0.010274019203554354,0.007097602248062453,0.004372153386912136,0.0077793445126351024,0.007144892629778876,0.01773880452173507,0.025501767503396455,0.021009747442994556,0.011366388382094462,0.011534916452379909,0.023002100321177214,0.022060797725257212,0.023215548540367923,0.021009996302573344,0.015157825811836625,0.01915144963977264,0.016201747471439796,0.022056432896612025,0.016427014818470493,0.020670381752089677,0.011824603679471224,0.02365049641343717,1.0,0.014213672265611405,0.020383497361369577,0.018404327621345248,0.026751510728901518,0.01609373329040661,0.0157249983559449,0.017088213161913435,0.014156285157542556,0.013380747295301969,0.012412011855599508,0.006480721030275417
MC20.MG33,0.015455563519576604,0.016564018724753857,0.01114113347104784,0.016749764226563723,0.015641724297544162,0.0051700906167463975,0.003143318667065236,0.006218865281387001,0.006036424893808672,0.019080406258855983,0.012216107674675897,0.019382292658842146,0.010995844338319715,0.011518950442662833,0.014303670258638858,0.015519397404328351,0.016619825241073256,0.01688990765233482,0.021042630273584318,0.017479003113004998,0.013759327333974553,0.015170985991206795,0.01541268232999819,0.016952849195805277,0.019216196837816665,0.018527979304563978,0.014213672265611405,1.0,0.016003859315164435,0.02323250533605545,0.02139774597705068,0.017043355429287962,0.011276748043501653,0.013265030875245344,0.015062591287154972,0.011888278908915605,0.01633366105190641,0.015116204968402228
MC20.MG34,0.014472517304183615,0.016260420457314937,0.013455218369920426,0.012584500655208004,0.01280081607400947,0.005672513875923391,0.0032128590826810814,0.006286525020587573,0.006017124546385314,0.014374857273314234,0.01586333717824057,0.017921531192346782,0.017186807231444466,0.012644723583877557,0.016886069313762724,0.019175505919252076,0.019112580635923287,0.016836720454420744,0.016324194729822973,0.01758502783953847,0.019506929515299753,0.01997365775737364,0.016798164545296142,0.02065268983781656,0.012571107029483273,0.017860066023766122,0.020383497361369577,0.016003859315164435,1.0,0.019898628504198507,0.021295782923561307,0.016846909961241514,0.013476470116180693,0.015487568010953717,0.01283731098601755,0.011322333803043006,0.011867833985860632,0.00846543179348927
MC20.MG35,0.015485736748533608,0.017914060983601307,0.012566588820239694,0.015540848564101989,0.014491004363936792,0.0055136067125387414,0.0028563677462893674,0.005845300599547555,0.00587078593676332,0.017106829463271515,0.015045426429278913,0.020961591333377005,0.014737187483653966,0.013352989240250024,0.016113104598218103,0.01855081731067884,0.01935049875863951,0.01764632106139449,0.021335618768073356,0.019745348865834587,0.018411810854394695,0.018926066687504284,0.018552880667879586,0.020577513938828108,0.016342868163693094,0.020152513519873638,0.018404327621345248,0.02323250533605545,0.019898628504198507,1.0,0.024125036673655034,0.018315768939305303,0.012533299899647977,0.015112880610456375,0.015539600653518008,0.012418443081019562,0.015464315955556468,0.010793069275885027
MC20.MG36,0.017095360240112753,0.019806859037976538,0.014525409506826193,0.01500176184522329,0.01500970618774599,0.006210439968518252,0.0035570158980301942,0.00758330520346869,0.006718047736626352,0.018108993757366007,0.01993202356477922,0.02372481050576294,0.0123347730478231,0.014173828487712275,0.019569322609886714,0.020126731882658327,0.023069265081265392,0.021273807825682854,0.021637965775441238,0.02285426219846563,0.01778665296843254,0.020251345425901894,0.020921819204549975,0.022737259551486075,0.01600783217624635,0.024531409312753247,0.026751510728901518,0.02139774597705068,0.021295782923561307,0.024125036673655034,1.0,0.019962960574445958,0.015151147868810009,0.01573374415014168,0.016031418147412286,0.014062262745008375,0.016163197322798206,0.01110244194552194
MC20.MG37,0.015954643048051293,0.016726184144814638,0.013013388796589276,0.013988731868441314,0.014039076665160749,0.005261774178235754,0.0027898272220222642,0.006369685685057398,0.005851816330630979,0.015021703631085492,0.012962916900621829,0.018163047734202714,0.011631867522253996,0.015908223617984323,0.015541101465594068,0.014960147563534336,0.017732530646393366,0.016906611537160793,0.01790585549792757,0.01824122565761437,0.01591303681352293,0.016732397635450966,0.01864545979233469,0.01695859446026661,0.014297980294229061,0.017525364998767955,0.01609373329040661,0.017043355429287962,0.016846909961241514,0.018315768939305303,0.019962960574445958,1.0,0.012900468724042794,0.012516374774721187,0.013286145542239709,0.011646759802194038,0.01358429650012089,0.010812630619242569
MC20.MG4,0.0115965914776943,0.012619285067915098,0.01258644648369336,0.010444411383039628,0.010409289100687372,0.00589115866138342,0.0034476477877862007,0.006035363951455786,0.006752738740783594,0.012454636844805403,0.014002128589998821,0.013457625791599759,0.009827582390047506,0.01026258262512006,0.013180204788704962,0.013687381268253867,0.013790146557122922,0.012318457598422091,0.011004151295873375,0.012937026382920823,0.012549439536610252,0.013353134406780562,0.011991376749530611,0.012400505804273534,0.011691012794959134,0.01352656598391561,0.0157249983559449,0.011276748043501653,0.013476470116180693,0.012533299899647977,0.015151147868810009,0.012900468724042794,1.0,0.014171486443225757,0.013335552932588894,0.010103681938387522,0.010070261047139014,0.0075075470182727885
MC20.MG5,0.0121472337225279,0.014406837209109964,0.01189279897538138,0.012044857380146384,0.01122483067491419,0.008456417286714795,0.0037974471927816615,0.006181221359709377,0.006113502461641386,0.01306450303325111,0.015314891852935464,0.01510086279984318,0.011157782343211513,0.00893197639199914,0.012591255933917609,0.016152746117088557,0.0157341597235557,0.012994844690508866,0.01178889887768232,0.012949365069632629,0.012627837521418092,0.013915179494459171,0.012758079920763126,0.013051433443225572,0.012967662242151186,0.013200300670089062,0.017088213161913435,0.013265030875245344,0.015487568010953717,0.015112880610456375,0.01573374415014168,0.012516374774721187,0.014171486443225757,1.0,0.014622356586826573,0.01071192177503108,0.011882724047332725,0.0065778336625198705
MC20.MG6,0.012788057964102015,0.013685576683888201,0.011578408022427029,0.012501504648224035,0.013316663494279544,0.005167677143406905,0.003940892220738533,0.007056619695029918,0.005659978289171241,0.014094540864408995,0.013436769129410896,0.015450582218279956,0.010111514388016255,0.00942267628609924,0.012280296345212183,0.014078111639148601,0.014924869930019473,0.013185905983685938,0.013409083854026902,0.014166445429606003,0.011526131849376097,0.013874315691378836,0.012264417446107697,0.013328809723256735,0.015040038379683266,0.012961053100781486,0.014156285157542556,0.015062591287154972,0.01283731098601755,0.015539600653518008,0.016031418147412286,0.013286145542239709,0.013335552932588894,0.014622356586826573,1.0,0.011527338011135516,0.013330127638881516,0.012379128744383907
MC20.MG7,0.01076936607728137,0.012966377573805771,0.010896533353628373,0.011141290886367077,0.010638018815295568,0.00511323675647507,0.004434608416456004,0.008475054780364921,0.006053389780313482,0.012302333935297383,0.012154528953190826,0.013436742214060828,0.008729604988786253,0.009988680364309657,0.011541363442443863,0.012031069853610452,0.012711325800507618,0.012023713153305433,0.011445340031503345,0.011814134692631853,0.010070405817362587,0.011326331804355758,0.01144929582035437,0.011170945130741333,0.010395892932296548,0.012750403482962934,0.013380747295301969,0.011888278908915605,0.011322333803043006,0.012418443081019562,0.014062262745008375,0.011646759802194038,0.010103681938387522,0.01071192177503108,0.011527338011135516,1.0,0.01540421177259606,0.006937267410231691
MC20.MG8,0.011512928709895556,0.013308716641246056,0.009211937258736013,0.012566211983364356,0.014107658586735627,0.004776333542988806,0.0030965154630194992,0.005746858798599872,0.005544584871166305,0.011911375216486338,0.011352152652236651,0.015508557045543402,0.00838185941633281,0.009450955843788782,0.011603640595081635,0.011800327282866953,0.013083344003972932,0.013806978802631317,0.014942941683142247,0.013151438302252422,0.010570802842940685,0.011481010419783987,0.013106118901112617,0.012484978867041991,0.01557387269688815,0.01432299672611254,0.012412011855599508,0.01633366105190641,0.011867833985860632,0.015464315955556468,0.016163197322798206,0.01358429650012089,0.010070261047139014,0.011882724047332725,0.013330127638881516,0.01540421177259606,1.0,0.009394412888460966
MC20.MG9,0.009914435719290135,0.00879371141842935,0.006276771025341105,0.01133770836433677,0.011132415418557105,0.0034391857684048814,0.002384481388827198,0.005184115588709203,0.005431073336229906,0.011005001984156205,0.005652737557290813,0.009204762019028982,0.00738704167206744,0.008883539939270026,0.007642481691410111,0.007036462343139199,0.00855535981607331,0.009158604609888345,0.011415334691473959,0.009593253709677743,0.009053677521351172,0.009617995568157851,0.008494290310904044,0.009671100960409094,0.013450262660525097,0.009216356246911566,0.006480721030275417,0.015116204968402228,0.00846543179348927,0.010793069275885027,0.01110244194552194,0.010812630619242569,0.0075075470182727885,0.0065778336625198705,0.012379128744383907,0.006937267410231691,0.009394412888460966,1.0
